Id,Label,female,body,sexual,face,skin,objectifies,python_pagerank,modularity_class,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,chanelofficial,hm,jacquemus,sheinofficial,Degree,Weighted Degree,stat_inf_class,clustering,triangles
simple,simple,0.028457,0.077492,0,1,0.182483,0,0.150044,9,0.000338,3,0.511392,0.522504,14.803867,0,1,0,0,68,0.000372,89,0.7128,1576
simplicity,simplicity,0.066001,0.06234,0,1,0.250154,0.5,0.150035,2,0.00024,3,0.505019,0.511538,2.581561,0.75,0.25,0,0,38,0.00031,207,0.842342,561
sing,sing,0.041098,0.05403,0,1,0.286785,0,0.150043,6,0.000217,3,0.504321,0.510395,1.261665,0,0,1,0,35,0.00038,255,0.825312,463
singer,singer,0.016885,0.040253,0,1,0.460757,0.6,0.150018,2,0.000461,2,0.517743,0.53427,56.637312,0.6,0.2,0.2,0,102,0.000145,179,0.612475,3093
single,single,0.019734,0.068774,0.017929,1,0.315265,0,0.150061,9,0.000762,2,0.53365,0.563057,188.024783,0.125,0.875,0,0,186,0.000503,184,0.541069,9209
sit,sit,0.040228,0.031164,0,0.941667,0.212966,0.516667,0.150605,0,0.002339,2,0.620851,0.694654,6775.084704,0.116667,0.183333,0.575,0.125,570,0.005171,29,0.23016,37193
size,size,0.032413,0.077468,0,0.916667,0.270233,0.416667,0.150067,3,0.000501,3,0.519032,0.536897,79.47718,0.333333,0.333333,0,0.333333,110,0.000564,228,0.591064,3479
ski,ski,0.023046,0.033448,0,1,0.036966,0.625,0.150049,5,0.000492,3,0.518848,0.536783,58.903797,0.5,0.25,0.25,0,110,0.000421,141,0.639484,3764
skin,skin,0.025732,0.06375,0,1,0.506903,0,0.150043,2,0.000478,3,0.517192,0.534156,59.35903,1,0,0,0,103,0.000377,107,0.601631,3099
skincare,skincare,0.020064,0.065658,0,1,0.4983,0.333333,0.150027,2,0.000418,3,0.515002,0.529586,33.974709,1,0,0,0,89,0.000225,177,0.661181,2531
skirt,skirt,0.033365,0.058174,0.000789,0.908367,0.166296,0.330677,0.15072,9,0.003787,2,0.740233,0.824537,20024.263113,0.075697,0.561753,0.258964,0.103586,949,0.005984,217,0.167106,75010
sky,sky,0.030892,0.029318,0.000554,0.902857,0.171987,0.411429,0.15054,0,0.002817,2,0.66621,0.749486,8850.455558,0.097143,0.125714,0.72,0.057143,730,0.004476,84,0.224355,59534
slay,slay,0.024841,0.022853,0,1,0.193215,0.454545,0.150074,6,0.000337,3,0.510854,0.521933,14.197127,0,0,0,1,67,0.000626,186,0.734732,1576
sleek,sleek,0.052831,0.088181,0,1,0.107231,0.333333,0.150049,9,0.00031,3,0.51014,0.520105,7.269012,0,1,0,0,61,0.000434,194,0.771186,1365
sleep,sleep,0.050988,0.063061,0,1,0.362908,0,0.150014,1,0.000359,3,0.51211,0.523875,1.686836,0,0,1,0,72,0.00011,76,0.937223,2329
sleepwear,sleepwear,0.022203,0.019563,0,0.888889,0.316008,0.888889,0.150048,0,0.000233,3,0.505544,0.511652,0.456327,0,0,0,1,37,0.000399,220,0.931746,587
sleeve,sleeve,0.02266,0.088633,0.006217,1,0.219901,0.1875,0.15006,9,0.000801,3,0.535806,0.567055,189.096529,0.0625,0.875,0.0625,0,198,0.000503,14,0.541386,10452
sleeveless,sleeveless,0.023207,0.088715,0,1,0.142742,0,0.150033,9,0.000219,3,0.501892,0.507882,3.790927,0,1,0,0,31,0.000286,260,0.806897,351
slingback,slingback,0.026212,0.087687,0.003682,1,0.077064,0.333333,0.150048,9,0.00043,3,0.515912,0.531072,29.95469,0,1,0,0,93,0.000401,89,0.711897,2980
slip,slip,0.016303,0.057987,0.002997,0.875,0.077588,0.25,0.150037,9,0.000569,2,0.522939,0.543866,98.153968,0,1,0,0,130,0.000307,121,0.590964,4879
slit,slit,0.027155,0.058886,0.003249,1,0.097704,0.125,0.150047,9,0.000518,2,0.520885,0.540096,61.119966,0,1,0,0,119,0.000402,139,0.612922,4231
slope,slope,0.015508,0.035133,0,1,0.012805,0.5,0.150016,5,0.000379,3,0.51319,0.526159,19.831553,0.75,0.25,0,0,79,0.000128,186,0.749251,2250
slouchy,slouchy,0.045831,0.091679,0,1,0.062832,0.5,0.150077,6,0.000144,3,0.499145,0.50217,0,0,1,0,0,14,0.000764,195,0.884615,69
small,small,0.031354,0.069343,0.000906,0.97619,0.320926,0.241071,0.15069,2,0.00413,2,0.773595,0.853667,23382.762246,0.1875,0.348214,0.440476,0.02381,1034,0.005699,190,0.153694,81923
smile,smile,0.044112,0.041654,0,1,0.331001,0.222222,0.150161,6,0.001122,2,0.551815,0.5939,876.947952,0.111111,0.111111,0.740741,0.037037,276,0.00138,170,0.380597,14339
smith,smith,0.044617,0.029263,0,1,0.08371,0.7,0.150071,0,0.000317,2,0.510497,0.520562,7.46175,0,0,1,0,62,0.0006,127,0.765027,1400
smock,smock,0.020964,0.050097,0.002854,1,0.160877,0,0.150016,9,0.000368,3,0.51319,0.525931,10.498894,0.666667,0.333333,0,0,78,0.00014,202,0.814422,2383
smooth,smooth,0.037043,0.0762,0.001527,1,0.122129,0.166667,0.150055,2,0.000436,2,0.516826,0.532557,31.347572,0.333333,0.666667,0,0,97,0.000484,54,0.701316,3198
snkr,snkr,0.023789,0.027013,0,0,0.230565,1,0.150024,5,0.000203,3,0.498974,0.505026,0.083031,0,0,1,0,27,0.000202,225,0.947692,308
snow,snow,0.030766,0.037391,0,1,0.100982,0.363636,0.150083,0,0.000572,2,0.522939,0.543866,136.948047,0,0.363636,0.181818,0.454545,130,0.000722,127,0.506662,4183
so,so,0.024698,0.039766,0.001266,0.971429,0.235467,0.364286,0.150459,0,0.001637,2,0.586887,0.648047,1870.531092,0.021429,0.05,0.85,0.078571,434,0.003912,271,0.385564,36061
sock,sock,0.036486,0.0463,0.000384,0.875,0.155881,0.583333,0.150166,4,0.000929,2,0.54017,0.574366,600.410277,0.041667,0.083333,0.5,0.375,219,0.001433,6,0.42798,10123
sofa,sofa,0.050988,0.063061,0,1,0.362908,0,0.150014,1,0.000359,3,0.51211,0.523875,1.686836,0,0,1,0,72,0.00011,76,0.937223,2329
sofia,sofia,0.011217,0.014064,0.006244,0.923077,0.421804,0,0.150022,5,0.000555,2,0.523314,0.544551,30.404437,1,0,0,0,132,0.000176,238,0.768761,6546
soft,soft,0.025244,0.082613,0.005296,1,0.131286,0.125,0.15004,9,0.000669,2,0.529007,0.554832,125.128829,0.25,0.75,0,0,162,0.000333,72,0.579658,7466
softness,softness,0.032715,0.025719,0,1,0.067706,0.75,0.150013,2,0.000292,2,0.508894,0.517478,0.360709,1,0,0,0,53,0.000104,227,0.966817,1282
soir,soir,0.017639,0.007407,0,1,0.043906,0.6,0.150036,0,0.000238,3,0.505019,0.511995,1.693006,0,0,1,0,40,0.000308,90,0.875843,649
solution,solution,0.021026,0.014125,0,1,0.043805,0.666667,0.150021,8,0.000197,3,0.498292,0.505026,0.302462,0,1,0,0,29,0.000177,96,0.939153,355
sometimes,sometimes,0.006676,0.00713,0.002855,1,0.258281,0.136364,0.150013,5,0.000673,2,0.532287,0.560658,0.841975,0,0,1,0,179,0.000101,213,0.988574,15573
soon,soon,0.028555,0.050786,0,0.666667,0.341222,0.466667,0.150091,9,0.000462,2,0.517743,0.53427,36.535618,0,0.733333,0.2,0.066667,102,0.000775,283,0.681188,3440
sophisticated,sophisticated,0.054639,0.067973,0,1,0.119806,0.2,0.150031,2,0.000281,3,0.507832,0.515878,8.521885,0.6,0.4,0,0,49,0.000259,207,0.77305,872
sophistication,sophistication,0.011118,0.027014,0,1,0.062909,0.333333,0.150012,5,0.000415,3,0.515184,0.529701,37.176936,1,0,0,0,89,0.000102,152,0.639498,2448
sort,sort,0.050581,0.067158,0,1,0.04384,0,0.150045,0,0.00017,3,0.502065,0.505712,0.449045,0,1,0,0,21,0.000417,167,0.847368,161
south,south,0.010516,0.030568,0.001973,1,0.173985,0,0.150021,3,0.000524,2,0.521258,0.540781,54.648531,1,0,0,0,121,0.000166,13,0.628852,4490
span,span,0.011734,0.015236,0.006765,0.916667,0.425125,0,0.15002,5,0.000479,2,0.519217,0.537012,11.691777,1,0,0,0,110,0.000162,265,0.856439,5041
sparkle,sparkle,0.028562,0.040923,0,0.928571,0.381389,0.428571,0.150138,1,0.000775,2,0.53365,0.563057,284.143387,0.107143,0.464286,0,0.428571,186,0.001174,268,0.481199,8190
sparkling,sparkling,0.032232,0.029665,0,1,0.082651,0.6,0.150019,2,0.000332,2,0.510854,0.521247,5.129132,1,0,0,0,64,0.000158,227,0.871992,1703
special,special,0.043672,0.045052,0,0.959184,0.143744,0.142857,0.150244,6,0.000702,2,0.530353,0.557231,141.015147,0,0.040816,0.959184,0,169,0.002097,173,0.586113,8222
spend,spend,0.050336,0.062748,0,1,0.358685,0,0.150111,1,0.000453,2,0.517009,0.532899,43.176557,0.020408,0,0.979592,0,98,0.001005,76,0.718643,3346
spin,spin,0.046191,0.102792,0,1,0.207545,0,0.150041,9,0.000197,3,0.50293,0.507882,0.868185,0,1,0,0,28,0.000386,260,0.883191,310
spinel,spinel,0.014797,0.035479,0,1,0.462589,0.5,0.150007,2,0.000299,3,0.508008,0.51782,0,1,0,0,0,57,0.000059,106,0.98961,1524
spirit,spirit,0.013211,0.023814,0.00445,0.95,0.353856,0.1,0.150042,5,0.000961,2,0.545217,0.582934,375.340124,1,0,0,0,244,0.000338,95,0.479883,14110
